iter	Logloss
0	0.646319401
1	0.6000521295
2	0.5535405141
3	0.5181129874
4	0.4856252774
5	0.4626143337
6	0.4380634006
7	0.4136504285
8	0.3999276424
9	0.3878374658
10	0.3737619114
11	0.361637851
12	0.3495081365
13	0.3419632261
14	0.3323610554
15	0.3222951442
16	0.3183544638
17	0.3101512412
18	0.3059418909
19	0.2982326206
20	0.2937938602
21	0.2898111824
22	0.2863717387
23	0.2834345252
24	0.2804481673
25	0.2769451868
26	0.2743298768
27	0.2715035284
28	0.2682000765
29	0.2658144482
30	0.2635400887
31	0.2619773445
32	0.2595694563
33	0.2585634393
34	0.2571695322
35	0.2549591901
36	0.2532005794
37	0.2521600653
38	0.2512696273
39	0.2486172365
40	0.2467629397
41	0.2447519318
42	0.2439619514
43	0.2419838261
44	0.2403990349
45	0.2390222932
46	0.2376142917
47	0.2369637083
48	0.2358649606
49	0.2347508261
50	0.2338147471
51	0.232370136
52	0.2313017011
53	0.2295283796
54	0.2284433909
55	0.227749903
56	0.2270812285
57	0.2262204591
58	0.2249979655
59	0.2236311604
60	0.2226547969
61	0.2218159322
62	0.2213339044
63	0.2207079744
64	0.2200277655
65	0.2192986121
66	0.2186788966
67	0.2168712789
68	0.2161573963
69	0.2153620748
70	0.2143908048
71	0.2133648841
72	0.212748468
73	0.2123099831
74	0.2114711125
75	0.2106588728
76	0.2098118261
77	0.2087886399
78	0.207989189
79	0.2072814572
80	0.2063565834
81	0.2055392388
82	0.204687442
83	0.2038333461
84	0.2023542716
85	0.2010391441
86	0.2004493355
87	0.1994288379
88	0.1987983678
89	0.1979160313
90	0.1975340594
91	0.1967195747
92	0.1957428869
93	0.194977922
94	0.1944575885
95	0.1938526857
96	0.1932488198
97	0.1925595414
98	0.1921957418
99	0.1911266452
100	0.1903835046
101	0.1895719822
102	0.1887249556
103	0.1881607874
104	0.1872927005
105	0.1865552796
106	0.186147831
107	0.1855791336
108	0.1844396994
109	0.1836784122
110	0.1827425851
111	0.1822492142
112	0.1815670718
113	0.1812084787
114	0.1809803838
115	0.1805894919
116	0.1799550156
117	0.1794392856
118	0.1789056035
119	0.1783425032
120	0.1776459204
121	0.1767547168
122	0.1764998195
123	0.1757355591
124	0.1752294953
125	0.1746254641
126	0.1735879975
127	0.1733007448
128	0.1728337565
129	0.1718123436
130	0.171352145
131	0.1705987603
132	0.1700304499
133	0.1693949296
134	0.1686099247
135	0.1682327604
136	0.167778369
137	0.1667593909
138	0.1660026249
139	0.1655036342
140	0.1648447604
141	0.1642849647
142	0.1636454945
143	0.1631539451
144	0.1623827819
145	0.1616033341
146	0.1610481374
147	0.1603253183
148	0.1596362161
149	0.159251547
150	0.1585384953
151	0.1581527743
152	0.1575525455
153	0.1567496515
